id,version,status,title,agent_role,category,sector,prompt_family,lifecycle_phase,icon,color_token,operator_tab,route_path,quality_total,has_golden_fixture,command_template_count,hash
QA-001,3.0.0,active,QA Test Strategy Architect,DevSecOps Architect Agent,QA,All Industries,CI/CD,Release,git-branch,accent-green,qa,/prompts/all-industries/ci-cd/qa-001,40,False,4,1c8738845525b18bb2297ee20a92a351779558f1397190f194af69c52f4cbf01
QA-002,3.0.0,active,Regression Test Commander,QA Agent,QA,All Industries,QA / Test Automation,Test / Validate,check-check,accent-green,qa,/prompts/all-industries/qa-test-automation/qa-002,40,False,5,bec08557584e3006ddbe0d3509d89f0d5606929e190040e52e774c61dec3f038
QA-003,3.0.0,active,Exploratory QA Hunter,QA Agent,QA,All Industries,QA / Test Automation,Test / Validate,check-check,accent-green,qa,/prompts/all-industries/qa-test-automation/qa-003,40,False,5,dd262ce7faa89ab75f329c177b2ac8b4abf4e30a930fa73baab15e6941dd7367
QA-004,3.0.0,active,Accessibility QA Agent,QA Agent,QA,All Industries,QA / Test Automation,Test / Validate,check-check,accent-green,qa,/prompts/all-industries/qa-test-automation/qa-004,40,False,5,90d5b746c443e820258288ade2f7dbc5d9b68b5336617fe177db46d48db6c5ac
QA-005,3.0.0,active,Performance QA Engineer,AI/ML Security Agent,QA,All Industries,AI / ML Security,Cross-Lifecycle,brain-circuit,accent-green,qa,/prompts/all-industries/ai-ml-security/qa-005,40,False,2,304fdab67266d3fbee644589151473d46f19dc499bdd469e6760d5ee5774d23a
QA-006,3.0.0,active,API Contract QA Agent,QA Agent,QA,All Industries,QA / Test Automation,Test / Validate,check-check,accent-green,qa,/prompts/all-industries/qa-test-automation/qa-006,40,False,5,48b71ee74c14057adfe8100c751c4a9f935d1ea09c69940490f17703e4149151
QA-007,3.0.0,active,Data Quality QA Agent,QA Agent,QA,All Industries,QA / Test Automation,Test / Validate,check-check,accent-green,qa,/prompts/all-industries/qa-test-automation/qa-007,40,False,5,e6a7235292b3947839842364560dab116eb5a0b90b8158395c7cc1654c92a22d
AUD-001,3.0.0,active,Internal Audit Evidence Collector,SBOM/SCA Agent,Audit,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,audit,/prompts/all-industries/sbom-sca/aud-001,40,True,6,5660a170725ba4c536e26ec9b44f775f0d3b613bc3eedc431c63a9fca6753205
AUD-002,3.0.0,active,Control Gap Analyst,AI/ML Security Agent,Audit,All Industries,AI / ML Security,Cross-Lifecycle,brain-circuit,accent-neutral,audit,/prompts/all-industries/ai-ml-security/aud-002,40,True,2,02b591f358b1695f5b2f0707b4722c29c8ee0933d4b20fd015d5eb0ce8cfe0fb
AUD-003,3.0.0,active,Continuous Monitoring Auditor,SBOM/SCA Agent,Audit,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,audit,/prompts/all-industries/sbom-sca/aud-003,40,True,6,5b68d4f0a1faccb16342c332a3c591531d96c705da51071f216aec5ce9a7d501
AUD-004,3.0.0,active,Third-Party Risk Auditor,SBOM/SCA Agent,Audit,All Industries,SBOM / SCA,Cross-Lifecycle,package-search,accent-neutral,audit,/prompts/all-industries/sbom-sca/aud-004,40,True,6,a7656324a783f4a7067060b0340fc5f77dad06f3339214515812329a08be4db2
SAST-001,3.0.0,active,Static Code Security Reviewer,SAST Agent,SAST,All Industries,SAST,Test / Validate,shield-code,accent-neutral,sast,/prompts/all-industries/sast/sast-001,40,False,5,67ebe11df057cb7ef5811e56d33099f7a639a2bbd5ed859dade58aa5421d41e2
SAST-002,3.0.0,active,Semgrep Rule Engineer,SAST Agent,SAST,All Industries,SAST,Test / Validate,shield-code,accent-neutral,sast,/prompts/all-industries/sast/sast-002,40,False,5,1a7c12b51d98e7c566f4862f9b0e18329fd05f6f4952a8f512b96748eaa31fe8
SAST-003,3.0.0,active,CodeQL Query Engineer,SAST Agent,SAST,All Industries,SAST,Test / Validate,shield-code,accent-neutral,sast,/prompts/all-industries/sast/sast-003,40,False,5,ec8d644adbf45a4fbe139ed08a897fb7877149ea2b48dccd7fd0af9f5b49ec0c
SAST-004,3.0.0,active,Secure Code Remediator,SAST Agent,SAST,All Industries,SAST,Test / Validate,shield-code,accent-neutral,sast,/prompts/all-industries/sast/sast-004,40,False,5,f654bb1b4f8e8bd5c51d76db38b3245e3e487e12492972d85a835ef368962292
DAST-001,3.0.0,active,Dynamic Web App Tester,DAST Agent,DAST,All Industries,DAST,Test / Validate,radar,accent-neutral,dast,/prompts/all-industries/dast/dast-001,40,True,4,d9d28380ce4e83f48773801c2e378c91a1706cfc649786a4c92bf82ada05932e
DAST-002,3.0.0,active,API DAST Agent,DAST Agent,DAST,All Industries,DAST,Test / Validate,radar,accent-neutral,dast,/prompts/all-industries/dast/dast-002,40,True,4,8828b8817a817d08a35cbb270941ffc86b6f730afe34eff24faf841b681476ca
DAST-003,3.0.0,active,Authentication Flow Tester,DAST Agent,DAST,All Industries,DAST,Test / Validate,radar,accent-neutral,dast,/prompts/all-industries/dast/dast-003,40,True,4,5de040c1fad4feb4c9e7c2477875902a7c3ba2709be271270992d25d57b234d1
DEV-001,3.0.0,active,Pipeline Security Architect,SAST Agent,DevSecOps,All Industries,SAST,Test / Validate,shield-code,accent-cyan,devsecops,/prompts/all-industries/sast/dev-001,40,True,5,1fdbbc5cbbd6513195896a234e1626bfb8e86e0ef02aad5cb4175ebceb0e0ac0
