Date,Description,Amount
2026-04-05,Client ACME Corp invoice 1001,8200.00
2026-04-09,Upwork contractor Jane Dev,-1500.00
2026-04-12,GitHub monthly subscription,-21.00
2026-04-15,AWS hosting,-142.55
2026-04-18,Starbucks coffee,-8.75
2026-04-22,Google Ads advertising,-450.00
2026-04-28,Owner draw transfer to personal,-2000.00
2026-05-03,Client Beta LLC invoice 1002,6100.00
2026-05-07,Fiverr contractor design gig,-320.00
2026-05-10,Vercel hosting subscription,-20.00
2026-05-14,Delta airline flight to conference,-540.20
2026-05-16,Hotel Marriott conference,-410.00
2026-05-20,Staples office supplies,-96.40
2026-05-25,Comcast internet,-99.99
2026-05-29,Bank service charge fee,-15.00
2026-06-02,Client ACME Corp invoice 1003,7400.00
2026-06-06,Upwork contractor Jane Dev,-1800.00
2026-06-11,Adobe software subscription,-54.99
2026-06-15,DoorDash meal,-32.10
2026-06-19,Google Ads advertising,-500.00
2026-06-24,Owner draw transfer to personal,-2500.00
2026-06-28,Estimated tax payment IRS,-1200.00
2026-07-01,Client Gamma Inc invoice 1004,5300.00
2026-07-04,Notion software subscription,-16.00
2026-07-08,Uber travel,-24.50
